Contraloría General del Estado,1019301028
Sapbol,125641027
CIES,1006987025
Labclinic,1007135023
Banco de Crédito de Bolivia S.A.,1020435022
Alcocer Paceña La Salteña,2214183010
Optalvis Ltda.,1006513026
Bolivian Foods S.A.,1006859022
Ecora,187232024
Naturalcos S.A.,125683021
Río Selva,1016901021
Instituto Nacional de Oftalmología,1002661025
Grupo Alcos S.A.,1007045023
Toyosa S.A.,1030029024
Gobierno Autónomo Municiapal de La Paz,1029241022
Hospital del Niño Dr.Ovidio Aliaga Uría,123085026
Club de Tenis La Paz,1006821025
Dekma Bolivia S.A.,123921020
Sociedad Médica Alemana,1007029021
Caja de Salud de la Banca Privada,1020635028
Inmobiliaria Los Cedros,1020331021
Instituto de Gastroenterología Boliviano Japonés,1018119023
Universidad Mayor de San Andrés,1020071028
Industris Albus S.A.,1006789023
Richard Condori (Agencia Stegue),4300027018
Seguro Social Uiversitario,120609020
Sahana S.R.L. (Hotel Camino Real),157120022
Instituto Boliviano de Biología de la Altura,1020071028
Hospital Arcoiris,1017553028
Nuevatel ,1007173022
UMSA Bienestar Social,1020071028
I.S. Ideas Stock S.R.L.,182042022
Farmatech Boliviana S.A.,1028387024
FAUTAPO,1024503027
Maldonado Sociedad Hotelera y Turismo S.R.L.,158932020
Hoteles Minismalistas S.R.L. (Santa Cruz),153350023
Droguería Inti S.A.,1020521023
Hotelera Nacional S.A.,1006841024
INSO,1016503025
Caja Petrolera de Salud ,1016867023
Ketal S.A.,1020541029
Pomarino,2371981012
Laboratorios Illimani S.R.L.,1019301028
